,player_id,age,player_height,player_weight,college,country,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
167,168,23.0,210.82,108.86208,Kansas,USA,26,2.2,1.8,0.1,-6.5,0.08900000000000001,0.219,0.157,0.5920000000000001,0.034
168,169,24.0,198.12,88.45044,St. John's (NY),Dominican Republic,47,9.3,3.5,1.3,-9.1,0.065,0.097,0.196,0.498,0.093
169,170,22.0,210.82,103.418976,Kentucky,USA,67,11.1,8.1,1.8,-11.0,0.085,0.22,0.189,0.544,0.107
170,171,23.0,187.96,86.18248,Louisville,USA,74,5.5,3.1,1.8,-0.2,0.034,0.162,0.172,0.466,0.16399999999999998
171,172,21.0,208.28,104.32616,Villanova,USA,77,11.0,3.7,1.2,-4.9,0.069,0.118,0.227,0.5379999999999999,0.092
172,173,35.0,203.2,102.0582,Florida State,USA,69,8.8,3.6,3.0,-10.4,0.04,0.123,0.192,0.466,0.187
173,174,24.0,213.36,121.562656,North Carolina,USA,77,7.0,5.0,0.6,-2.7,0.133,0.159,0.17,0.547,0.051
174,175,35.0,203.2,98.883056,Miami (FL),USA,48,3.7,1.0,0.3,-4.8,0.018000000000000002,0.099,0.163,0.58,0.054000000000000006
175,176,36.0,195.58,88.45044,Michigan,USA,79,14.2,1.8,2.3,2.3,0.01,0.066,0.246,0.529,0.145
176,177,26.0,208.28,102.0582,None,Great Britain,51,2.6,2.3,0.3,-12.3,0.08800000000000001,0.19,0.165,0.435,0.05
177,178,29.0,185.42,79.3786,Ohio State,USA,1,0.0,0.0,0.0,-64.2,0.0,0.0,0.4,0.0,0.0
178,179,31.0,200.66,115.66596,Drexel,USA,72,4.4,3.6,0.9,-12.9,0.08800000000000001,0.204,0.17,0.466,0.099
179,180,25.0,193.04,86.18248,Seton Hall,USA,73,6.4,1.3,2.2,-0.5,0.016,0.08800000000000001,0.233,0.524,0.261
180,181,28.0,195.58,85.728888,North Carolina State,USA,26,2.1,1.2,1.1,-7.0,0.021,0.11,0.16699999999999998,0.38,0.199
181,182,20.0,198.12,98.883056,Duke,USA,77,8.4,3.9,0.8,-1.6,0.101,0.14400000000000002,0.224,0.5529999999999999,0.071
182,183,27.0,190.5,87.543256,Texas,Canada,82,6.5,3.4,3.9,5.2,0.019,0.111,0.134,0.474,0.208
183,184,27.0,195.58,92.98636,Eastern Washington,USA,76,11.5,2.8,3.6,-7.4,0.022,0.094,0.21,0.505,0.208
184,185,24.0,203.2,102.0582,Duke,USA,80,21.4,9.0,7.3,6.9,0.049,0.232,0.28300000000000003,0.556,0.35600000000000004
185,186,35.0,200.66,102.0582,Wisconsin,USA,82,10.1,3.1,1.4,5.7,0.015,0.12,0.188,0.519,0.084
186,187,24.0,213.36,114.305184,Nevada,USA,61,11.3,7.8,0.5,-9.5,0.118,0.225,0.206,0.552,0.035
187,188,29.0,205.74,108.86208,Xavier,USA,81,19.0,7.5,3.0,-2.4,0.065,0.177,0.241,0.56,0.135
188,189,29.0,198.12,97.52228,Ohio State,USA,33,21.2,3.2,2.7,3.9,0.024,0.087,0.255,0.5660000000000001,0.121
189,190,28.0,198.12,97.52228,North Carolina,USA,81,11.7,4.2,2.0,9.9,0.027000000000000003,0.138,0.175,0.596,0.101
190,191,26.0,205.74,102.0582,Nevada,USA,63,4.1,1.8,0.4,-5.1,0.017,0.131,0.125,0.639,0.044
191,192,24.0,190.5,81.64656,Rhode Island,USA,14,5.7,2.2,1.6,-9.5,0.013,0.14400000000000002,0.172,0.481,0.136
192,193,24.0,203.2,97.52228,Miami (FL),USA,75,4.9,2.3,0.8,2.5,0.036000000000000004,0.121,0.14300000000000002,0.537,0.077
193,194,30.0,210.82,119.294696,None,Turkey,72,17.0,7.7,1.7,3.2,0.062,0.213,0.218,0.5920000000000001,0.078
194,195,24.0,205.74,99.79024,Duke,United Kingdom,49,14.1,6.0,1.9,-0.8,0.054000000000000006,0.145,0.199,0.511,0.09
195,196,34.0,210.82,115.66596,New Orleans,USA,81,2.6,5.8,0.3,1.7,0.104,0.219,0.079,0.468,0.024
196,197,24.0,208.28,104.32616,Iowa State,USA,14,1.6,1.1,0.6,-32.3,0.054000000000000006,0.128,0.193,0.325,0.174
197,198,25.0,193.04,94.800728,None,USA,70,7.9,4.7,1.5,-5.8,0.05,0.142,0.153,0.542,0.094
198,199,24.0,177.8,78.471416,Seton Hall,USA,19,4.6,1.3,2.7,-4.7,0.032,0.071,0.188,0.398,0.28
199,200,24.0,203.2,102.511792,Xavier,USA,30,6.2,4.3,0.8,-22.0,0.079,0.204,0.196,0.479,0.085
200,201,26.0,203.2,102.511792,Butler,USA,80,19.7,5.0,3.7,1.0,0.025,0.135,0.256,0.5589999999999999,0.181
201,202,21.0,210.82,121.109064,Kentucky,Turkey,70,7.2,4.3,0.4,3.7,0.147,0.17600000000000002,0.211,0.588,0.05
202,203,26.0,193.04,86.18248,Wingate,USA,29,5.2,2.3,3.1,-2.5,0.028,0.124,0.173,0.483,0.246
203,204,32.0,195.58,95.25431999999999,Iowa State,USA,5,2.0,0.8,0.4,-7.3,0.0,0.1,0.19,0.455,0.118
204,205,28.0,200.66,103.418976,UCLA,USA,80,10.1,3.4,0.9,-3.5,0.039,0.134,0.197,0.555,0.067
205,206,23.0,195.58,99.79024,Texas,USA,10,2.1,0.4,0.4,-6.1,0.06,0.026,0.198,0.506,0.154
206,207,31.0,187.96,86.18248,Southern California,USA,29,8.9,1.4,5.8,-7.6,0.011,0.055,0.217,0.49,0.3670000000000001
207,208,29.0,205.74,113.398,Maryland,USA,79,7.2,6.5,0.3,-6.2,0.119,0.172,0.139,0.523,0.018000000000000002
208,209,27.0,190.5,90.7184,Arkansas,USA,59,3.2,1.5,1.7,2.4,0.045,0.104,0.16,0.516,0.21
209,210,31.0,210.82,106.59412,Georgia Tech,USA,44,21.1,7.0,2.2,-2.2,0.036000000000000004,0.201,0.29,0.5479999999999999,0.121
210,211,33.0,203.2,108.86208,Creighton,USA,79,8.9,3.1,1.1,0.9,0.027000000000000003,0.109,0.14400000000000002,0.6629999999999999,0.076
211,212,38.0,208.28,122.46984,Syracuse,USA,5,1.8,3.0,0.0,-26.8,0.073,0.3,0.16,0.294,0.0
212,213,27.0,198.12,97.52228,North Carolina,USA,68,9.1,3.4,1.5,9.8,0.017,0.13,0.165,0.58,0.092
213,214,27.0,205.74,95.25431999999999,Cincinnati,USA,39,3.5,1.5,0.4,-6.1,0.025,0.122,0.188,0.414,0.068
214,215,27.0,200.66,92.98636,North Carolina,USA,62,11.3,2.5,1.5,0.6,0.015,0.07200000000000001,0.153,0.615,0.081
215,216,24.0,200.66,88.45044,Iowa,USA,79,14.4,4.5,3.3,-2.9,0.036000000000000004,0.127,0.228,0.5329999999999999,0.188
216,217,31.0,205.74,102.0582,Nevada-Las Vegas,USA,19,2.0,2.9,0.3,-4.4,0.166,0.17600000000000002,0.139,0.446,0.057
217,218,34.0,205.74,108.86208,Cincinnati,USA,42,5.2,4.3,0.4,1.4,0.061,0.174,0.13699999999999998,0.445,0.031
218,219,24.0,200.66,107.047712,California,USA,74,7.4,3.1,0.8,-1.4,0.071,0.138,0.209,0.52,0.077
219,220,32.0,205.74,104.32616,Connecticut,USA,65,11.5,6.6,1.2,1.7,0.064,0.224,0.188,0.591,0.083
220,221,24.0,187.96,86.18248,Oakland,USA,60,15.5,2.7,3.4,1.9,0.01,0.078,0.231,0.54,0.185
221,222,28.0,190.5,86.18248,Memphis,USA,64,18.0,3.8,4.4,-3.9,0.034,0.092,0.256,0.53,0.21600000000000005
222,223,27.0,208.28,129.27372,Wright State,Ukraine,79,4.6,4.4,0.4,-1.0,0.132,0.154,0.141,0.513,0.038
223,224,22.0,205.74,117.026736,Duke,USA,75,15.5,11.4,2.0,0.5,0.099,0.268,0.198,0.5670000000000001,0.098
224,225,29.0,203.2,98.429464,Michigan,USA,83,20.4,4.5,4.3,-2.1,0.016,0.117,0.26,0.528,0.203
225,226,30.0,198.12,113.398,Kentucky,USA,74,2.7,4.0,1.5,-2.2,0.105,0.177,0.095,0.469,0.135
226,227,26.0,208.28,107.047712,Duke,USA,6,2.3,2.3,0.2,11.1,0.13699999999999998,0.152,0.193,0.371,0.031
227,228,26.0,195.58,97.52228,Colorado,USA,62,20.5,3.5,6.8,0.9,0.015,0.085,0.287,0.5379999999999999,0.345
228,229,26.0,185.42,86.18248,Virginia,USA,36,7.3,2.1,3.3,-1.1,0.01,0.102,0.2,0.467,0.275
229,230,30.0,193.04,92.98636,Bowling Green,USA,75,11.2,2.3,4.1,4.2,0.012,0.08900000000000001,0.189,0.557,0.261
230,231,33.0,198.12,97.52228,Arizona,USA,76,7.6,4.0,3.4,13.4,0.03,0.131,0.113,0.624,0.16899999999999998
231,232,23.0,210.82,108.86208,None,Czech Republic,51,2.5,2.4,0.5,-3.1,0.084,0.151,0.122,0.48,0.069
232,233,24.0,187.96,81.64656,Tennessee,USA,32,3.7,1.0,1.1,1.9,0.036000000000000004,0.055,0.153,0.519,0.139
233,234,24.0,205.74,103.418976,New Mexico,USA,82,13.9,4.6,1.4,-3.2,0.047,0.114,0.182,0.573,0.07
234,235,23.0,213.36,115.66596,None,Lithuania,80,12.0,8.7,0.5,-0.7,0.121,0.254,0.193,0.623,0.031
235,236,35.0,200.66,116.573144,Louisiana Tech,USA,42,11.8,5.8,1.6,11.5,0.083,0.153,0.198,0.598,0.09
236,237,22.0,205.74,113.398,Florida State,Canada,12,3.5,0.9,0.2,0.8,0.017,0.159,0.242,0.614,0.05
237,238,22.0,182.88,79.3786,Wake Forest,USA,64,17.3,4.4,8.9,-1.6,0.026,0.117,0.227,0.537,0.397
238,239,25.0,213.36,117.93392,Stanford,USA,78,5.9,5.1,2.0,6.8,0.077,0.13699999999999998,0.12,0.4970000000000001,0.105
239,240,34.0,193.04,90.7184,North Carolina State,USA,65,3.9,1.3,1.9,-2.1,0.014,0.091,0.13699999999999998,0.501,0.213
240,241,27.0,200.66,102.0582,None,Argentina,53,14.1,5.7,1.1,2.5,0.034,0.21,0.241,0.578,0.073
241,242,30.0,203.2,90.7184,Meridian Community College,USA,61,4.9,3.1,0.8,7.5,0.03,0.175,0.129,0.555,0.073
242,243,27.0,187.96,91.625584,Florida International,Puerto Rico,72,7.7,1.9,2.8,1.4,0.03,0.096,0.23,0.501,0.28600000000000003
243,244,23.0,215.9,136.0776,Florida A&M,USA,16,1.5,1.1,0.1,-20.5,0.118,0.268,0.338,0.41,0.053
244,245,28.0,208.28,108.86208,Duke,USA,17,4.2,2.6,1.9,6.1,0.03,0.159,0.132,0.613,0.168
245,246,30.0,203.2,106.59412,Florida,USA,78,9.9,8.1,0.7,3.1,0.092,0.252,0.172,0.5379999999999999,0.042
246,247,34.0,213.36,113.398,Virginia,USA,48,7.7,8.9,0.9,-3.0,0.13699999999999998,0.196,0.139,0.461,0.047
247,248,30.0,200.66,97.975872,Arizona,USA,20,16.1,6.2,2.4,-6.3,0.071,0.138,0.229,0.489,0.121
248,249,23.0,208.28,113.398,Utah,USA,42,21.8,8.5,1.5,-4.1,0.076,0.18,0.28300000000000003,0.519,0.08199999999999999
249,250,30.0,185.42,83.91452,Oklahoma,USA,78,17.4,5.3,5.9,10.5,0.046,0.114,0.221,0.5479999999999999,0.272
250,251,21.0,208.28,103.872568,Maryland,USA,65,8.6,4.7,0.8,-4.7,0.102,0.159,0.192,0.557,0.067
251,252,22.0,195.58,90.7184,Auburn,USA,19,1.6,0.4,0.6,-15.7,0.01,0.08800000000000001,0.16699999999999998,0.387,0.179
252,253,34.0,193.04,92.98636,Bowling Green,USA,74,4.1,1.0,2.4,-11.7,0.006,0.093,0.16399999999999998,0.536,0.3
253,254,20.0,205.74,95.25431999999999,None,USA,59,5.4,2.1,0.6,-5.4,0.063,0.109,0.197,0.532,0.078
254,255,27.0,210.82,108.86208,Louisiana State,USA,31,2.1,1.0,0.4,-12.6,0.065,0.127,0.224,0.406,0.133
255,256,22.0,193.04,86.18248,Wingate,USA,82,5.1,3.0,3.4,-8.8,0.025,0.129,0.152,0.405,0.234
256,257,21.0,200.66,102.0582,California,USA,70,14.5,4.9,1.6,7.7,0.03,0.124,0.208,0.562,0.081
257,258,28.0,200.66,98.883056,Connecticut,USA,32,6.6,3.7,1.4,-1.4,0.048,0.145,0.155,0.468,0.111
258,259,25.0,218.44,117.93392,Georgetown,USA,65,12.8,8.8,1.7,5.4,0.128,0.204,0.212,0.539,0.093
259,260,27.0,213.36,108.86208,Indiana,USA,56,11.0,7.0,1.5,-8.2,0.108,0.195,0.202,0.5710000000000001,0.109
260,261,25.0,208.28,113.398,Kentucky,USA,35,4.6,3.7,0.2,-12.3,0.111,0.202,0.201,0.452,0.024
261,262,28.0,203.2,106.59412,Oklahoma,Mexico,68,5.2,3.6,1.0,2.8,0.092,0.14,0.158,0.489,0.084
262,263,30.0,201.0,86.0,Virginia Military Institute,USA,6,4.5,1.0,0.7,-20.2,0.022,0.062,0.132,0.518,0.087
263,264,23.0,205.74,124.7378,Le Moyne,France,79,9.1,4.4,0.7,-6.2,0.069,0.156,0.236,0.478,0.063
264,265,28.0,208.28,108.86208,California,USA,66,17.0,6.0,1.1,-1.2,0.069,0.153,0.242,0.546,0.059
265,266,33.0,205.74,115.66596,Stanford,USA,19,0.3,0.9,0.2,0.2,0.084,0.077,0.068,0.19,0.044
266,267,33.0,200.66,103.418976,Connecticut,USA,78,10.4,2.9,1.0,6.4,0.026,0.118,0.202,0.535,0.063
267,268,25.0,205.74,117.026736,Illinois,USA,81,7.9,3.4,0.9,3.5,0.068,0.14800000000000002,0.183,0.578,0.079
268,269,33.0,198.12,90.7184,California-Santa Barbara,USA,1,0.0,1.0,1.0,-31.2,0.0,0.25,0.154,0.0,0.333
269,270,29.0,195.58,95.25431999999999,Georgia Tech,USA,74,10.7,2.6,0.8,4.4,0.024,0.09,0.16399999999999998,0.604,0.05
270,271,24.0,210.82,118.841104,Utah,USA,77,6.4,3.5,0.8,3.4,0.055,0.171,0.196,0.443,0.077
271,272,27.0,205.74,115.66596,Louisville,USA,67,4.4,5.5,1.0,-2.7,0.1,0.224,0.13699999999999998,0.465,0.08
272,273,26.0,210.82,111.13004,Connecticut,USA,66,6.6,5.2,0.9,-1.0,0.086,0.16399999999999998,0.129,0.5770000000000001,0.053
273,274,27.0,210.82,112.944408,Duke,USA,61,5.1,3.8,0.3,-4.5,0.121,0.174,0.154,0.606,0.03
274,275,25.0,208.28,111.13004,Florida,Dominican Republic,77,15.3,9.3,3.5,0.2,0.081,0.233,0.199,0.5870000000000001,0.16899999999999998
275,276,24.0,205.74,111.13004,North Carolina-Charlotte,USA,5,1.2,1.4,0.0,-0.3,0.097,0.105,0.154,0.333,0.0
276,277,29.0,213.36,118.38751200000002,Purdue,USA,56,15.6,9.3,3.9,4.9,0.077,0.198,0.175,0.596,0.16
277,278,22.0,203.2,104.32616,West Virginia,USA,59,4.7,1.9,0.7,-3.1,0.068,0.125,0.201,0.494,0.094
278,279,24.0,187.96,82.10015200000002,Syracuse,USA,10,2.6,1.3,1.2,5.0,0.058,0.123,0.161,0.601,0.231
279,280,27.0,180.34,74.84268,Gonzaga,USA,3,3.3,0.0,0.0,-46.3,0.0,0.0,0.25,1.05,0.0
280,281,23.0,198.12,102.0582,Michigan State,USA,78,18.7,6.7,2.9,-0.3,0.047,0.151,0.256,0.504,0.14300000000000002
281,282,29.0,193.04,97.52228,Texas,USA,25,1.6,0.6,0.3,-8.9,0.014,0.099,0.13,0.527,0.077
282,283,32.0,203.2,104.32616,Maryland,USA,48,9.4,3.4,1.4,-4.1,0.038,0.129,0.195,0.5379999999999999,0.107
283,284,31.0,187.96,79.3786,Tennessee,USA,57,10.0,2.9,3.6,-0.6,0.014,0.113,0.185,0.581,0.229
284,285,28.0,195.58,86.18248,Syracuse,USA,40,6.7,3.4,2.5,-0.3,0.052000000000000005,0.128,0.172,0.52,0.205
285,286,30.0,208.28,112.037224,North Carolina,USA,79,4.9,2.7,0.6,1.2,0.078,0.14800000000000002,0.179,0.517,0.078
286,287,29.0,195.58,81.64656,Villanova,USA,65,13.0,3.9,2.6,5.4,0.03,0.117,0.191,0.55,0.15
287,288,29.0,203.2,101.151016,None,USA,66,21.6,5.1,5.9,5.7,0.019,0.134,0.303,0.487,0.294
288,289,23.0,213.36,102.0582,None,Georgia,17,2.1,1.3,0.2,-13.3,0.087,0.131,0.219,0.417,0.057
289,290,21.0,205.74,99.79024,Arizona,USA,80,12.7,5.1,1.9,-2.8,0.054000000000000006,0.141,0.2,0.53,0.097
290,291,25.0,200.66,99.79024,Iowa,USA,57,3.4,2.0,0.5,-2.4,0.093,0.083,0.117,0.585,0.068
291,292,25.0,190.5,86.18248,Memphis,USA,10,15.9,3.2,4.3,-3.3,0.031,0.076,0.295,0.446,0.257
292,293,34.0,185.42,81.64656,Fayetteville State,USA,82,12.4,3.9,5.5,3.2,0.033,0.097,0.17800000000000002,0.5529999999999999,0.249
293,294,31.0,190.5,85.275296,Indiana Purdue-Indianapolis,USA,49,16.9,3.4,4.2,8.6,0.017,0.105,0.236,0.599,0.227
294,295,32.0,195.58,88.904032,None,Serbia,15,3.2,1.1,2.1,5.4,0.021,0.084,0.171,0.557,0.26
295,296,35.0,195.58,95.25431999999999,Georgia Southern,USA,70,2.9,1.2,0.8,-6.0,0.021,0.06,0.111,0.46,0.083
296,297,28.0,205.74,106.59412,Indiana,USA,73,10.5,5.6,0.7,-8.8,0.109,0.147,0.224,0.487,0.05
297,298,30.0,210.82,124.7378,Iowa State,USA,62,7.0,6.7,0.6,2.7,0.077,0.221,0.122,0.6,0.039
298,299,26.0,203.2,111.13004,Missouri,Lithuania,39,11.2,4.5,1.0,-4.9,0.042,0.163,0.214,0.502,0.06
299,300,26.0,185.42,90.7184,Arkansas-Little Rock,USA,20,11.5,3.0,4.4,11.1,0.008,0.08900000000000001,0.153,0.534,0.181
300,301,28.0,205.74,113.398,Michigan,USA,81,18.0,7.1,2.8,-1.4,0.067,0.156,0.246,0.527,0.135
301,302,29.0,195.58,99.79024,Portland State,USA,75,8.4,3.7,1.5,-3.6,0.054000000000000006,0.111,0.13699999999999998,0.569,0.085
302,303,35.0,187.96,88.45044,Connecticut,USA,40,1.8,0.5,1.0,8.5,0.015,0.062,0.118,0.463,0.177
303,304,30.0,213.36,120.20188,Central Michigan,USA,47,13.1,7.7,2.1,-2.6,0.08,0.231,0.265,0.478,0.134
304,305,26.0,193.04,102.511792,Baylor,USA,63,6.1,5.3,2.6,6.1,0.013,0.158,0.09,0.5820000000000001,0.115
305,306,23.0,208.28,113.851592,Oklahoma,USA,66,20.7,10.9,3.2,6.9,0.107,0.244,0.266,0.557,0.156
306,307,35.0,203.2,111.13004,Iowa,USA,47,3.7,6.4,0.7,-4.4,0.149,0.32299999999999995,0.129,0.49,0.065
307,308,25.0,208.28,120.20188,Georgia Tech,USA,50,9.5,6.1,1.1,2.8,0.092,0.205,0.208,0.512,0.079
308,309,22.0,215.9,111.13004,None,USA,8,1.8,2.3,0.1,-16.9,0.07400000000000001,0.154,0.123,0.391,0.014
309,310,24.0,203.2,106.140528,Texas A&M,USA,79,18.2,3.8,4.2,-0.1,0.018000000000000002,0.103,0.229,0.56,0.183
310,311,26.0,205.74,112.490816,Purdue,USA,80,16.8,5.9,0.8,-2.9,0.086,0.136,0.227,0.6,0.048
311,312,25.0,200.66,86.18248,Fresno State,USA,1,5.0,2.0,0.0,21.5,0.0,0.091,0.171,0.23,0.0
312,313,28.0,205.74,102.0582,Xavier,USA,81,7.6,5.0,0.7,2.2,0.122,0.18600000000000005,0.18,0.5720000000000001,0.062
313,314,29.0,210.82,108.86208,Memphis,USA,80,9.6,7.7,1.1,1.3,0.093,0.233,0.181,0.501,0.066
314,315,20.0,203.2,97.52228,Stanford,USA,5,1.4,1.0,0.2,-31.7,0.038,0.16,0.102,0.595,0.077
315,316,26.0,210.82,104.32616,Duke,USA,16,1.6,1.1,0.5,2.6,0.01,0.168,0.147,0.408,0.116
316,317,29.0,187.96,88.45044,Jackson State,USA,82,12.7,3.0,4.0,1.9,0.014,0.085,0.165,0.5429999999999999,0.171
317,318,23.0,198.12,104.32616,Kansas,USA,82,25.3,6.4,3.1,-1.3,0.034,0.16699999999999998,0.306,0.563,0.166
318,319,29.0,213.36,122.46984,Pacific,Nigeria,43,6.5,5.7,0.6,10.3,0.104,0.18,0.192,0.446,0.041
319,320,22.0,190.5,92.98636,Connecticut,USA,53,5.9,1.9,2.6,-11.2,0.019,0.124,0.212,0.499,0.285
320,321,26.0,187.96,81.64656,Florida,USA,29,4.1,0.8,0.7,-11.5,0.022,0.066,0.206,0.487,0.124
321,322,25.0,208.28,99.79024,Iowa State,USA,41,1.8,2.1,0.3,2.0,0.099,0.161,0.123,0.428,0.042
322,323,36.0,213.36,115.66596,Arizona,USA,36,3.6,1.4,0.6,-22.7,0.01,0.158,0.174,0.524,0.1
323,324,30.0,205.74,92.98636,Alabama,USA,50,8.0,4.8,2.7,-0.2,0.067,0.127,0.16699999999999998,0.462,0.154
324,325,20.0,208.28,99.79024,Kentucky,USA,64,13.5,8.2,1.0,-5.5,0.106,0.236,0.215,0.5589999999999999,0.06
325,326,24.0,205.74,104.32616,Connecticut,USA,61,7.3,4.5,0.9,-8.6,0.098,0.21,0.222,0.478,0.08800000000000001
326,327,29.0,185.42,83.91452,Georgia,USA,1,0.0,0.0,0.0,-42.0,0.0,0.0,0.333,0.0,0.0
327,328,30.0,200.66,110.676448,Miami (OH),USA,32,15.0,3.1,1.7,-3.4,0.021,0.111,0.249,0.54,0.107
328,329,26.0,205.74,100.243832,None,Slovenia,76,9.2,3.3,0.8,0.2,0.021,0.171,0.193,0.614,0.07200000000000001
329,330,22.0,203.2,95.25431999999999,Syracuse,USA,77,9.7,4.7,1.8,-9.1,0.051,0.139,0.183,0.506,0.106
330,331,24.0,200.66,106.59412,Purdue,USA,80,21.1,6.3,3.1,-2.9,0.051,0.14400000000000002,0.278,0.528,0.146
331,332,24.0,208.28,108.86208,Duke,USA,9,0.9,1.2,0.3,25.3,0.36,0.087,0.238,0.28600000000000003,0.13
332,333,35.0,205.74,115.66596,Baylor,USA,2,0.0,0.0,0.0,-95.6,0.0,0.0,0.0,0.0,0.0
333,334,27.0,210.82,108.86208,Duke,USA,56,3.0,3.3,0.6,-6.2,0.079,0.191,0.107,0.521,0.068
